Designator,Mid X,Mid Y,Rotation,Layer
C1,120.55,-89.5,180.0,top
C2,120.55,-94.5,180.0,top
C3,120.55,-99.5,180.0,top
C4,120.55,-104.5,180.0,top
C5,120.55,-109.5,180.0,top
C6,120.55,-114.5,180.0,top
D1,124.5,-79.5875,90.0,top
D2,127.0,-79.5875,90.0,top
D3,129.5,-79.5875,90.0,top
D4,132.0,-79.5875,90.0,top
D5,134.5,-79.5875,90.0,top
D6,137.0,-79.5875,90.0,top
J1,83.1325,-101.245,270.0,top
J2,147.0,-101.25,270.0,top
Q1,124.6,-88.5,270.0,top
Q2,124.55,-93.5,270.0,top
Q3,124.55,-98.5,270.0,top
Q4,124.55,-103.5,270.0,top
Q5,124.55,-108.5,270.0,top
Q6,124.55,-113.5,270.0,top
R1,92.5,-92.5,0.0,top
R10,120.55,-92.0,180.0,top
R11,127.0,-83.0875,270.0,top
R12,134.19,-93.5,180.0,top
R13,92.5,-100.0,0.0,top
R14,92.5,-97.5,0.0,top
R15,117.05,-98.0,90.0,top
R16,120.55,-97.0,180.0,top
R17,129.5,-83.0875,270.0,top
R18,134.19,-97.5,180.0,top
R19,92.5,-105.0,0.0,top
R2,92.5,-87.5,0.0,top
R20,92.5,-112.5,0.0,top
R21,92.5,-115.0,0.0,top
R22,92.5,-102.5,0.0,top
R23,92.5,-107.5,0.0,top
R24,92.5,-110.0,0.0,top
R25,117.05,-103.0,90.0,top
R26,117.05,-108.0,90.0,top
R27,117.05,-113.0,90.0,top
R28,120.55,-102.0,180.0,top
R29,120.55,-107.0,180.0,top
R3,117.05,-88.0,90.0,top
R30,120.55,-112.0,180.0,top
R31,132.0,-83.0875,270.0,top
R32,134.19,-101.5,180.0,top
R33,134.5,-83.0875,270.0,top
R34,134.19,-105.5,180.0,top
R35,137.0,-83.0875,270.0,top
R36,134.19,-109.5,180.0,top
R4,120.55,-87.0,180.0,top
R5,134.19,-89.5,180.0,top
R6,124.5,-83.0875,270.0,top
R7,92.5,-95.0,0.0,top
R8,92.5,-90.0,0.0,top
R9,117.05,-93.0,90.0,top
U1,99.5,-92.875,0.0,top
U2,104.5,-92.875,0.0,top
U3,109.5,-92.875,0.0,top
U4,109.5,-110.0,0.0,top
U5,104.5,-110.0,0.0,top
U6,99.5,-110.0,0.0,top
